noise_std,dropout_p,density,success,timeout,collision
0.0,0.0,0.2,94.6,3.6,1.8
0.0,0.0,0.3,93.6,3.8,2.6
0.0,0.25,0.2,92.4,4.8,2.8
0.0,0.25,0.3,90.2,3.8,6.0
0.0,0.5,0.2,89.8,4.8,5.4
0.0,0.5,0.3,90.4,3.8,5.8
0.1,0.0,0.2,95.2,3.8,1.0
0.1,0.0,0.3,93.6,3.8,2.6
0.1,0.25,0.2,94.6,3.8,1.6
0.1,0.25,0.3,90.0,4.8,5.2
0.1,0.5,0.2,91.0,3.6,5.4
0.1,0.5,0.3,89.2,3.2,7.6
0.3,0.0,0.2,94.2,2.8,3.0
0.3,0.0,0.3,91.2,4.8,4.0
0.3,0.25,0.2,93.0,4.0,3.0
0.3,0.25,0.3,89.4,3.8,6.8
0.3,0.5,0.2,90.0,3.8,6.2
0.3,0.5,0.3,89.8,3.2,7.0
0.0,0.0,0.2,95.25,2.1,2.65
0.0,0.0,0.3,91.15,5.2,3.65
0.0,0.25,0.2,94.25,2.35,3.4
0.0,0.25,0.3,90.1,4.45,5.45
0.3,0.0,0.3,89.9,5.6,4.5
0.3,0.25,0.2,94.7,2.1,3.2
0.3,0.25,0.3,89.2,4.3,6.5
0.3,0.5,0.2,93.85,2.3,3.85
0.3,0.5,0.3,87.55,3.5,8.95
0.0,0.0,0.2,95.55,2.0,2.45
0.0,0.0,0.3,91.1,5.65,3.25
0.0,0.25,0.2,94.15,2.35,3.5
0.0,0.25,0.3,88.85,5.15,6.0
0.0,0.5,0.2,93.0,2.3,4.7
0.0,0.5,0.3,88.5,3.95,7.55
0.1,0.0,0.2,95.65,1.75,2.6
0.1,0.0,0.3,90.85,5.5,3.65
0.1,0.25,0.2,94.1,2.7,3.2
0.1,0.25,0.3,89.5,4.95,5.55
0.1,0.5,0.2,93.2,2.0,4.8
0.1,0.5,0.3,88.0,3.95,8.05
0.3,0.0,0.2,95.0,2.15,2.85
