sc_goal_min_dist,goal_spawn_clearance,bfs_clearance,inter_drone_min,spawn_mode,density,pct_all10_ok,avg_drone_ok,clean_drone_successes,total_clean_maps,total_discarded,total_fallbacks,avg_actual_density,avg_obs_count,infeasible,recommended_ceiling,ceiling_reason
5.0,1.0,0.4,0.2,clustered,0.1,100.0,10.0,500,50,0,0,0.11348612500000003,13.56,False,0.35,all_pass
5.0,1.0,0.4,0.2,clustered,0.15,100.0,10.0,500,50,0,0,0.15932550000000004,19.0,False,0.35,all_pass
5.0,1.0,0.4,0.2,clustered,0.2,100.0,10.0,500,50,0,0,0.20914575000000007,25.14,False,0.35,all_pass
5.0,1.0,0.4,0.2,clustered,0.25,100.0,10.0,500,50,0,0,0.25793287500000006,34.74,False,0.35,all_pass
5.0,1.0,0.4,0.2,clustered,0.3,98.0,9.8,490,50,0,0,0.30707512500000006,43.16,False,0.35,all_pass
5.0,1.0,0.4,0.2,clustered,0.35,92.0,9.2,460,50,0,0,0.35663587500000005,49.98,False,0.35,all_pass
5.0,1.0,0.4,0.2,scattered,0.1,100.0,10.0,500,50,0,0,0.11348612500000003,13.56,False,0.2,below_90pct
5.0,1.0,0.4,0.2,scattered,0.15,98.0,9.98,499,50,0,0,0.15932550000000004,19.0,False,0.2,below_90pct
5.0,1.0,0.4,0.2,scattered,0.2,94.0,9.94,497,50,0,0,0.20914575000000007,25.14,False,0.2,below_90pct
5.0,1.0,0.4,0.2,scattered,0.25,84.0,9.74,487,50,0,0,0.25793287500000006,34.74,False,0.2,below_90pct
5.0,1.0,0.4,0.2,scattered,0.3,82.0,9.66,483,50,0,0,0.30707512500000006,43.16,False,0.2,below_90pct
5.0,1.0,0.4,0.2,scattered,0.35,70.0,9.0,450,50,0,0,0.35663587500000005,49.98,False,0.2,below_90pct
5.0,1.0,0.4,0.35,clustered,0.1,100.0,10.0,500,50,0,0,0.11348612500000003,13.56,False,0.35,all_pass
5.0,1.0,0.4,0.35,clustered,0.15,100.0,10.0,500,50,0,0,0.15932550000000004,19.0,False,0.35,all_pass
5.0,1.0,0.4,0.35,clustered,0.2,100.0,10.0,500,50,0,0,0.20914575000000007,25.14,False,0.35,all_pass
5.0,1.0,0.4,0.35,clustered,0.25,98.0,9.98,499,50,0,0,0.25793287500000006,34.74,False,0.35,all_pass
5.0,1.0,0.4,0.35,clustered,0.3,98.0,9.8,490,50,0,0,0.30707512500000006,43.16,False,0.35,all_pass
5.0,1.0,0.4,0.35,clustered,0.35,92.0,9.2,460,50,0,0,0.35663587500000005,49.98,False,0.35,all_pass
5.0,1.0,0.4,0.35,scattered,0.1,100.0,10.0,500,50,0,0,0.11348612500000003,13.56,False,0.2,below_90pct
5.0,1.0,0.4,0.35,scattered,0.15,98.0,9.98,499,50,0,0,0.15932550000000004,19.0,False,0.2,below_90pct
5.0,1.0,0.4,0.35,scattered,0.2,94.0,9.94,497,50,0,0,0.20914575000000007,25.14,False,0.2,below_90pct
5.0,1.0,0.4,0.35,scattered,0.25,84.0,9.74,487,50,0,0,0.25793287500000006,34.74,False,0.2,below_90pct
5.0,1.0,0.4,0.35,scattered,0.3,82.0,9.66,483,50,0,0,0.30707512500000006,43.16,False,0.2,below_90pct
5.0,1.0,0.4,0.35,scattered,0.35,70.0,9.02,451,50,0,0,0.35663587500000005,49.98,False,0.2,below_90pct
5.0,1.0,0.4,0.5,clustered,0.1,100.0,10.0,500,50,0,0,0.11348612500000003,13.56,False,0.35,all_pass
5.0,1.0,0.4,0.5,clustered,0.15,100.0,10.0,500,50,0,0,0.15932550000000004,19.0,False,0.35,all_pass
5.0,1.0,0.4,0.5,clustered,0.2,100.0,10.0,500,50,0,0,0.20914575000000007,25.14,False,0.35,all_pass
5.0,1.0,0.4,0.5,clustered,0.25,98.0,9.98,499,50,0,0,0.25793287500000006,34.74,False,0.35,all_pass
5.0,1.0,0.4,0.5,clustered,0.3,98.0,9.8,490,50,0,0,0.30707512500000006,43.16,False,0.35,all_pass
5.0,1.0,0.4,0.5,clustered,0.35,92.0,9.2,460,50,0,0,0.35663587500000005,49.98,False,0.35,all_pass
5.0,1.0,0.4,0.5,scattered,0.1,100.0,10.0,500,50,0,0,0.11348612500000003,13.56,False,0.2,below_90pct
5.0,1.0,0.4,0.5,scattered,0.15,98.0,9.98,499,50,0,0,0.15932550000000004,19.0,False,0.2,below_90pct
5.0,1.0,0.4,0.5,scattered,0.2,94.0,9.94,497,50,0,0,0.20914575000000007,25.14,False,0.2,below_90pct
5.0,1.0,0.4,0.5,scattered,0.25,84.0,9.74,487,50,0,0,0.25793287500000006,34.74,False,0.2,below_90pct
5.0,1.0,0.4,0.5,scattered,0.3,82.0,9.66,483,50,0,0,0.30707512500000006,43.16,False,0.2,below_90pct
5.0,1.0,0.4,0.5,scattered,0.35,70.0,9.02,451,50,0,0,0.35663587500000005,49.98,False,0.2,below_90pct
5.0,1.0,0.44999999999999996,0.2,clustered,0.1,100.0,10.0,500,50,0,0,0.11348612500000003,13.56,False,0.3,below_90pct
5.0,1.0,0.44999999999999996,0.2,clustered,0.15,100.0,10.0,500,50,0,0,0.15932550000000004,19.0,False,0.3,below_90pct
5.0,1.0,0.44999999999999996,0.2,clustered,0.2,96.0,9.96,498,50,0,0,0.20914575000000007,25.14,False,0.3,below_90pct
5.0,1.0,0.44999999999999996,0.2,clustered,0.25,96.0,9.78,489,50,0,0,0.25793287500000006,34.74,False,0.3,below_90pct
5.0,1.0,0.44999999999999996,0.2,clustered,0.3,96.0,9.6,480,50,0,0,0.30707512500000006,43.16,False,0.3,below_90pct
5.0,1.0,0.44999999999999996,0.2,clustered,0.35,78.0,8.16,408,50,0,0,0.35663587500000005,49.98,False,0.3,below_90pct
5.0,1.0,0.44999999999999996,0.2,scattered,0.1,98.0,9.98,499,50,0,0,0.11348612500000003,13.56,False,0.1,below_90pct
5.0,1.0,0.44999999999999996,0.2,scattered,0.15,86.0,9.86,493,50,0,0,0.15932550000000004,19.0,False,0.1,below_90pct
5.0,1.0,0.44999999999999996,0.2,scattered,0.2,82.0,9.8,490,50,0,0,0.20914575000000007,25.14,False,0.1,below_90pct
5.0,1.0,0.44999999999999996,0.2,scattered,0.25,74.0,9.5,475,50,0,0,0.25793287500000006,34.74,False,0.1,below_90pct
5.0,1.0,0.44999999999999996,0.2,scattered,0.3,68.0,9.32,466,50,0,0,0.30707512500000006,43.16,False,0.1,below_90pct
5.0,1.0,0.44999999999999996,0.2,scattered,0.35,42.0,7.84,392,50,0,0,0.35663587500000005,49.98,False,0.1,below_90pct
5.0,1.0,0.44999999999999996,0.35,clustered,0.1,100.0,10.0,500,50,0,0,0.11348612500000003,13.56,False,0.3,below_90pct
5.0,1.0,0.44999999999999996,0.35,clustered,0.15,100.0,10.0,500,50,0,0,0.15932550000000004,19.0,False,0.3,below_90pct
5.0,1.0,0.44999999999999996,0.35,clustered,0.2,96.0,9.96,498,50,0,0,0.20914575000000007,25.14,False,0.3,below_90pct
5.0,1.0,0.44999999999999996,0.35,clustered,0.25,94.0,9.76,488,50,0,0,0.25793287500000006,34.74,False,0.3,below_90pct
5.0,1.0,0.44999999999999996,0.35,clustered,0.3,96.0,9.6,480,50,0,0,0.30707512500000006,43.16,False,0.3,below_90pct
5.0,1.0,0.44999999999999996,0.35,clustered,0.35,78.0,8.16,408,50,0,0,0.35663587500000005,49.98,False,0.3,below_90pct
5.0,1.0,0.44999999999999996,0.35,scattered,0.1,98.0,9.98,499,50,0,0,0.11348612500000003,13.56,False,0.1,below_90pct
5.0,1.0,0.44999999999999996,0.35,scattered,0.15,86.0,9.86,493,50,0,0,0.15932550000000004,19.0,False,0.1,below_90pct
5.0,1.0,0.44999999999999996,0.35,scattered,0.2,82.0,9.8,490,50,0,0,0.20914575000000007,25.14,False,0.1,below_90pct
5.0,1.0,0.44999999999999996,0.35,scattered,0.25,74.0,9.5,475,50,0,0,0.25793287500000006,34.74,False,0.1,below_90pct
5.0,1.0,0.44999999999999996,0.35,scattered,0.3,68.0,9.32,466,50,0,0,0.30707512500000006,43.16,False,0.1,below_90pct
5.0,1.0,0.44999999999999996,0.35,scattered,0.35,42.0,7.86,393,50,0,0,0.35663587500000005,49.98,False,0.1,below_90pct
5.0,1.0,0.44999999999999996,0.5,clustered,0.1,100.0,10.0,500,50,0,0,0.11348612500000003,13.56,False,0.3,below_90pct
5.0,1.0,0.44999999999999996,0.5,clustered,0.15,100.0,10.0,500,50,0,0,0.15932550000000004,19.0,False,0.3,below_90pct
5.0,1.0,0.44999999999999996,0.5,clustered,0.2,96.0,9.96,498,50,0,0,0.20914575000000007,25.14,False,0.3,below_90pct
5.0,1.0,0.44999999999999996,0.5,clustered,0.25,94.0,9.76,488,50,0,0,0.25793287500000006,34.74,False,0.3,below_90pct
5.0,1.0,0.44999999999999996,0.5,clustered,0.3,96.0,9.6,480,50,0,0,0.30707512500000006,43.16,False,0.3,below_90pct
5.0,1.0,0.44999999999999996,0.5,clustered,0.35,78.0,8.16,408,50,0,0,0.35663587500000005,49.98,False,0.3,below_90pct
5.0,1.0,0.44999999999999996,0.5,scattered,0.1,98.0,9.98,499,50,0,0,0.11348612500000003,13.56,False,0.1,below_90pct
5.0,1.0,0.44999999999999996,0.5,scattered,0.15,86.0,9.86,493,50,0,0,0.15932550000000004,19.0,False,0.1,below_90pct
5.0,1.0,0.44999999999999996,0.5,scattered,0.2,82.0,9.8,490,50,0,0,0.20914575000000007,25.14,False,0.1,below_90pct
5.0,1.0,0.44999999999999996,0.5,scattered,0.25,74.0,9.48,474,50,0,0,0.25793287500000006,34.74,False,0.1,below_90pct
5.0,1.0,0.44999999999999996,0.5,scattered,0.3,68.0,9.32,466,50,0,0,0.30707512500000006,43.16,False,0.1,below_90pct
5.0,1.0,0.44999999999999996,0.5,scattered,0.35,42.0,7.88,394,50,0,0,0.35663587500000005,49.98,False,0.1,below_90pct
5.0,1.0,0.5,0.2,clustered,0.1,100.0,10.0,500,50,0,0,0.11348612500000003,13.56,False,0.3,below_90pct
5.0,1.0,0.5,0.2,clustered,0.15,100.0,10.0,500,50,0,0,0.15932550000000004,19.0,False,0.3,below_90pct
5.0,1.0,0.5,0.2,clustered,0.2,96.0,9.96,498,50,0,0,0.20914575000000007,25.14,False,0.3,below_90pct
5.0,1.0,0.5,0.2,clustered,0.25,96.0,9.78,489,50,0,0,0.25793287500000006,34.74,False,0.3,below_90pct
5.0,1.0,0.5,0.2,clustered,0.3,92.0,9.2,460,50,0,0,0.30707512500000006,43.16,False,0.3,below_90pct
5.0,1.0,0.5,0.2,clustered,0.35,68.0,7.16,358,50,0,0,0.35663587500000005,49.98,False,0.3,below_90pct
5.0,1.0,0.5,0.2,scattered,0.1,82.0,9.82,491,50,0,0,0.11348612500000003,13.56,False,NONE,below_90pct
5.0,1.0,0.5,0.2,scattered,0.15,64.0,9.62,481,50,0,0,0.15932550000000004,19.0,False,NONE,below_90pct
5.0,1.0,0.5,0.2,scattered,0.2,72.0,9.66,483,50,0,0,0.20914575000000007,25.14,False,NONE,below_90pct
5.0,1.0,0.5,0.2,scattered,0.25,64.0,9.32,466,50,0,0,0.25793287500000006,34.74,False,NONE,below_90pct
5.0,1.0,0.5,0.2,scattered,0.3,48.0,8.78,439,50,0,0,0.30707512500000006,43.16,False,NONE,below_90pct
5.0,1.0,0.5,0.2,scattered,0.35,24.0,7.1,355,50,0,0,0.35663587500000005,49.98,False,NONE,below_90pct
5.0,1.0,0.5,0.35,clustered,0.1,98.0,9.98,499,50,0,0,0.11348612500000003,13.56,False,0.3,below_90pct
5.0,1.0,0.5,0.35,clustered,0.15,100.0,10.0,500,50,0,0,0.15932550000000004,19.0,False,0.3,below_90pct
5.0,1.0,0.5,0.35,clustered,0.2,96.0,9.96,498,50,0,0,0.20914575000000007,25.14,False,0.3,below_90pct
5.0,1.0,0.5,0.35,clustered,0.25,94.0,9.76,488,50,0,0,0.25793287500000006,34.74,False,0.3,below_90pct
5.0,1.0,0.5,0.35,clustered,0.3,92.0,9.2,460,50,0,0,0.30707512500000006,43.16,False,0.3,below_90pct
5.0,1.0,0.5,0.35,clustered,0.35,68.0,7.16,358,50,0,0,0.35663587500000005,49.98,False,0.3,below_90pct
5.0,1.0,0.5,0.35,scattered,0.1,82.0,9.82,491,50,0,0,0.11348612500000003,13.56,False,NONE,below_90pct
5.0,1.0,0.5,0.35,scattered,0.15,64.0,9.62,481,50,0,0,0.15932550000000004,19.0,False,NONE,below_90pct
5.0,1.0,0.5,0.35,scattered,0.2,72.0,9.66,483,50,0,0,0.20914575000000007,25.14,False,NONE,below_90pct
5.0,1.0,0.5,0.35,scattered,0.25,64.0,9.32,466,50,0,0,0.25793287500000006,34.74,False,NONE,below_90pct
5.0,1.0,0.5,0.35,scattered,0.3,48.0,8.78,439,50,0,0,0.30707512500000006,43.16,False,NONE,below_90pct
5.0,1.0,0.5,0.35,scattered,0.35,24.0,7.1,355,50,0,0,0.35663587500000005,49.98,False,NONE,below_90pct
5.0,1.0,0.5,0.5,clustered,0.1,98.0,9.98,499,50,0,0,0.11348612500000003,13.56,False,0.3,below_90pct
5.0,1.0,0.5,0.5,clustered,0.15,100.0,10.0,500,50,0,0,0.15932550000000004,19.0,False,0.3,below_90pct
5.0,1.0,0.5,0.5,clustered,0.2,96.0,9.96,498,50,0,0,0.20914575000000007,25.14,False,0.3,below_90pct
5.0,1.0,0.5,0.5,clustered,0.25,94.0,9.76,488,50,0,0,0.25793287500000006,34.74,False,0.3,below_90pct
5.0,1.0,0.5,0.5,clustered,0.3,92.0,9.2,460,50,0,0,0.30707512500000006,43.16,False,0.3,below_90pct
5.0,1.0,0.5,0.5,clustered,0.35,68.0,7.16,358,50,0,0,0.35663587500000005,49.98,False,0.3,below_90pct
5.0,1.0,0.5,0.5,scattered,0.1,82.0,9.82,491,50,0,0,0.11348612500000003,13.56,False,NONE,below_90pct
5.0,1.0,0.5,0.5,scattered,0.15,64.0,9.62,481,50,0,0,0.15932550000000004,19.0,False,NONE,below_90pct
5.0,1.0,0.5,0.5,scattered,0.2,70.0,9.64,482,50,0,0,0.20914575000000007,25.14,False,NONE,below_90pct
5.0,1.0,0.5,0.5,scattered,0.25,64.0,9.3,465,50,0,0,0.25793287500000006,34.74,False,NONE,below_90pct
5.0,1.0,0.5,0.5,scattered,0.3,48.0,8.78,439,50,0,0,0.30707512500000006,43.16,False,NONE,below_90pct
5.0,1.0,0.5,0.5,scattered,0.35,22.0,7.1,355,50,0,0,0.35663587500000005,49.98,False,NONE,below_90pct
5.0,1.5,0.4,0.2,clustered,0.1,100.0,10.0,500,50,0,0,0.11082175000000002,13.02,False,0.3,below_90pct
5.0,1.5,0.4,0.2,clustered,0.15,100.0,10.0,500,50,0,0,0.15974862500000003,20.26,False,0.3,below_90pct
5.0,1.5,0.4,0.2,clustered,0.2,98.0,9.98,499,50,0,0,0.21113912500000004,26.22,False,0.3,below_90pct
5.0,1.5,0.4,0.2,clustered,0.25,98.0,9.98,499,50,0,0,0.25958062500000006,34.6,False,0.3,below_90pct
5.0,1.5,0.4,0.2,clustered,0.3,98.0,9.8,490,50,0,0,0.30864737500000006,41.04,False,0.3,below_90pct
5.0,1.5,0.4,0.2,clustered,0.35,88.0,8.8,440,50,0,0,0.3557065,50.02,False,0.3,below_90pct
5.0,1.5,0.4,0.2,scattered,0.1,98.0,9.98,499,50,0,0,0.11082175000000002,13.02,False,0.25,below_90pct
5.0,1.5,0.4,0.2,scattered,0.15,96.0,9.96,498,50,0,0,0.15974862500000003,20.26,False,0.25,below_90pct
5.0,1.5,0.4,0.2,scattered,0.2,94.0,9.88,494,50,0,0,0.21113912500000004,26.22,False,0.25,below_90pct
5.0,1.5,0.4,0.2,scattered,0.25,92.0,9.92,496,50,0,0,0.25958062500000006,34.6,False,0.25,below_90pct
5.0,1.5,0.4,0.2,scattered,0.3,72.0,9.66,483,50,0,0,0.30864737500000006,41.04,False,0.25,below_90pct
5.0,1.5,0.4,0.2,scattered,0.35,44.0,8.62,431,50,0,0,0.3557065,50.02,False,0.25,below_90pct
5.0,1.5,0.4,0.35,clustered,0.1,100.0,10.0,500,50,0,0,0.11082175000000002,13.02,False,0.3,below_90pct
5.0,1.5,0.4,0.35,clustered,0.15,100.0,10.0,500,50,0,0,0.15974862500000003,20.26,False,0.3,below_90pct
5.0,1.5,0.4,0.35,clustered,0.2,98.0,9.98,499,50,0,0,0.21113912500000004,26.22,False,0.3,below_90pct
5.0,1.5,0.4,0.35,clustered,0.25,98.0,9.98,499,50,0,0,0.25958062500000006,34.6,False,0.3,below_90pct
5.0,1.5,0.4,0.35,clustered,0.3,98.0,9.8,490,50,0,0,0.30864737500000006,41.04,False,0.3,below_90pct
5.0,1.5,0.4,0.35,clustered,0.35,88.0,8.8,440,50,0,0,0.3557065,50.02,False,0.3,below_90pct
5.0,1.5,0.4,0.35,scattered,0.1,98.0,9.98,499,50,0,0,0.11082175000000002,13.02,False,0.25,below_90pct
5.0,1.5,0.4,0.35,scattered,0.15,96.0,9.96,498,50,0,0,0.15974862500000003,20.26,False,0.25,below_90pct
5.0,1.5,0.4,0.35,scattered,0.2,94.0,9.88,494,50,0,0,0.21113912500000004,26.22,False,0.25,below_90pct
5.0,1.5,0.4,0.35,scattered,0.25,92.0,9.92,496,50,0,0,0.25958062500000006,34.6,False,0.25,below_90pct
5.0,1.5,0.4,0.35,scattered,0.3,72.0,9.64,482,50,0,0,0.30864737500000006,41.04,False,0.25,below_90pct
5.0,1.5,0.4,0.35,scattered,0.35,44.0,8.64,432,50,0,0,0.3557065,50.02,False,0.25,below_90pct
5.0,1.5,0.4,0.5,clustered,0.1,100.0,10.0,500,50,0,0,0.11082175000000002,13.02,False,0.3,below_90pct
5.0,1.5,0.4,0.5,clustered,0.15,100.0,10.0,500,50,0,0,0.15974862500000003,20.26,False,0.3,below_90pct
5.0,1.5,0.4,0.5,clustered,0.2,98.0,9.98,499,50,0,0,0.21113912500000004,26.22,False,0.3,below_90pct
5.0,1.5,0.4,0.5,clustered,0.25,98.0,9.98,499,50,0,0,0.25958062500000006,34.6,False,0.3,below_90pct
5.0,1.5,0.4,0.5,clustered,0.3,98.0,9.8,490,50,0,0,0.30864737500000006,41.04,False,0.3,below_90pct
5.0,1.5,0.4,0.5,clustered,0.35,88.0,8.8,440,50,0,0,0.3557065,50.02,False,0.3,below_90pct
5.0,1.5,0.4,0.5,scattered,0.1,98.0,9.98,499,50,0,0,0.11082175000000002,13.02,False,0.25,below_90pct
5.0,1.5,0.4,0.5,scattered,0.15,96.0,9.96,498,50,0,0,0.15974862500000003,20.26,False,0.25,below_90pct
5.0,1.5,0.4,0.5,scattered,0.2,94.0,9.88,494,50,0,0,0.21113912500000004,26.22,False,0.25,below_90pct
5.0,1.5,0.4,0.5,scattered,0.25,92.0,9.92,496,50,0,0,0.25958062500000006,34.6,False,0.25,below_90pct
